,亚洲ETF-iShares MSCI,MSCI全球ETF-iShares,iShares MSCI ACWI ex US ETF,债券指数ETF-iShares Barclays综合国债,Alerian MLP ETF,债券指数ETF-Vanguard美国,短期国债指数ETF-Vanguard,道琼斯指数ETF,三倍做空黄金矿业指数ETF-Direxion,日本股利指数ETF-WisdomTree,新兴市场ETF-iShares MSCI,iShares Edge MSCI Min Vol EAFE ETF,欧澳远东指数 ETF-iShares MSCI,iShares JPMorgan USD Emerging Markets Bond ETF,印度收入指数ETF-WisdomTree,三倍做多能源ETF-Direxion,澳大利亚ETF-iShares MSCI,加拿大ETF-iShares MSCI,德国ETF-iShares MSCI,香港ETF-iShares MSCI,日本ETF-iShares MSCI,台湾ETF-iShares MSCI,墨西哥投资指数ETF-iShares MSCI,韩国ETF-iShares MSCI,巴西ETF-iShares MSCI,欧盟国家ETF-iShares MSCI,金融指数ETF-Direxion三倍做多罗素金融股,中国大盘股ETF-iShares,小型黄金矿业ETF(Market Vectors),黄金矿业ETF(Market Vectors),SPDR黄金ETF,债券指数ETF-iShares iBoxx高收益公司债,PIMCO 0-5 Year High YieldCorporate Bond Index ETF,黄金信托ETF(iShares),生物科技指数ETF-iShares Nasdaq,iShares Core MSCI EAFE ETF,债券指数ETF-iShares Barclays 7-10年,标普中型股400指数ETF-iShares,标普小型股600指数ETF-iShares,房屋建筑指数ETF-iShares Dow Jones,标普500价值指数ETF-iShares,标普500指数ETF,标普500成长股指数ETF-iShares,罗素1000指数ETF-iShares,罗素1000价值指数ETF-iShares,罗素1000成长指数ETF-iShares,罗素2000指数ETF,罗素2000价值股指数ETF-iShares,罗素2000成长股指数ETF,房地产指数ETF-iShares道琼斯,金矿指数三倍做空ETF,债券指数ETF-SPDR Barclays高收益债,金矿指数三倍做多ETF,银行指数ETF-SPDR KBW,区域银行指数ETF-SPDR KBW,债券指数ETF-iShares iBoxx投资级公司债,中国ETF-iShares MSCI,标普中型股400指数ETF-SPDR,三倍做多黄金矿业指数ETF-Direxion,标普100指数ETF-iShares,石油服务ETF,优先股指数ETF-iShares S&P,纳指两倍做空ETF,纳指两倍做多ETF,纳指ETF,平均加权指数ETF-Rydex S&P,俄罗斯ETF-Market Vectors,Schwab U.S. TIPs ETF,道指三倍做空ETF-ProShares,标普500两倍做空ETF,债券指数ETF-iShares Barclays 1-3年国,标普500反向ETF,白银ETF(iShares),半导体指数ETF-HOLDRs,三倍做多半导体ETF-Direxion Daily,iShares费城交易所半导体ETF,标普500三倍做空ETF,标普500指数ETF,纳指三倍做空ETF,标普500两倍做多ETF,0.5倍做空波动率指数短期期货ETF,债券20+美国债指数ETF-ProShares两倍做空,通胀债券指数ETF-iShares Barclays,债券20+美公债指数ETF-iShares Barcla,罗素2000指数三倍做多ETF-Direxion,纳指三倍做多ETF,罗素2000指数三倍做空ETF,二倍做多彭博原油ETF,道指三倍做多ETF-ProShares,三倍做多标普500ETF,美国原油ETF,1.5倍做多波动率指数短期期货ETF-ProShares,EAFE指数ETF-Vanguard MSCI,非美地区ETF-Vanguard FTSE,欧洲ETF-Vanguard MSCI,股利增长指数ETF-Vanguard,不动产信托指数ETF-Vanguard,Vanguard S&P 500 ETF,大盘指数ETF-Vanguard MSCI,Vanguard Value ETF,Vanguard Total World Stock ETF,成长股指数ETF-Vanguard MSCI,新兴市场ETF-Vanguard MSCI,SPDR S&P Biotech ETF,房屋建筑商指数ETF-SPDR,材料ETF,能源ETF,金融ETF,工业ETF,高科技指数ETF-SPDR,消费品指数ETF-SPDR主要消费品,公共事业指数ETF-SPDR,健康照护类股ETF-SPDR,消费品指数ETF-SPDR可选消费品,金属与采矿指数ETF-SPDR,油气开采指数ETF-SPDR S&P,零售指数ETF-SPDR标普
1503288000000,70.44,66.4,46.71,110.03,10.54,82.21,80.06,216.74,25.7,51.07,43.83,70.46,66.17,115.66,25.7,21.56,22.59,27.31,30.54,24.11,54.33,36.38,57.33,67.44,38.75,41.45,49.51,42.48,33.9,23.31,122.76,87.56,100.72,12.41,101.56,61.98,107.64,168.87,67.08,33.62,104.05,244.59,138.99,135.0,114.38,120.67,134.83,112.81,163.03,79.89,58.36,36.85,18.8,41.28,51.59,120.82,60.34,308.35,33.65,107.94,21.76,38.74,66.08,60.41,141.05,91.66,20.18,55.4,29.53,50.31,84.63,33.39,16.07,85.15,87.27,144.27,61.72,242.9,29.68,89.91,73.47,34.58,114.02,126.93,48.99,34.82,18.27,15.39,63.52,104.48,9.71,35.87,41.97,51.28,55.99,92.16,83.07,223.14,124.39,96.36,68.42,128.43,43.14,75.37,37.52,53.76,62.0,24.55,67.26,57.05,55.4,54.7,78.35,88.41,30.18,29.09,37.93
1503374400000,71.35,66.94,47.03,109.93,10.7,82.11,80.04,218.69,26.31,51.6,44.32,70.56,66.49,115.7,25.81,22.02,22.73,27.4,30.84,24.35,54.44,36.81,57.43,68.51,39.33,41.73,50.64,43.13,33.5,23.09,122.21,87.92,101.06,12.36,103.5067,62.24,107.43,170.36,67.73,33.66,104.87,247.0,140.61,136.32,115.23,122.2,136.29,113.81,164.99,79.82,60.1,37.02,18.22,41.7,52.11,120.7,61.2,311.22,32.79,109.02,21.92,38.78,64.08,62.21,143.2,92.53,20.31,55.37,28.72,49.27,84.62,33.05,16.07,86.29,91.41,146.65,59.96,245.44,28.35,91.7,78.87,34.82,113.88,126.44,50.5,36.37,17.7,15.55,65.33,107.56,9.77,30.62,42.18,51.55,56.28,92.94,82.83,225.4,125.64,97.2,68.97,129.91,43.52,77.17,37.66,54.46,62.41,24.82,68.03,57.9,55.41,54.82,79.3,89.36,30.78,29.34,38.45
1503460800000,71.47,66.83,47.04,110.18,10.87,82.35,80.11,217.92,25.68,51.25,44.53,70.66,66.5,115.95,26.0,22.3,22.62,27.58,30.88,24.32,54.46,36.79,57.27,68.37,40.09,41.735,50.63,43.35,33.78,23.26,122.67,87.93,101.12,12.4,103.0533,62.25,107.8,169.95,67.55,33.26,104.64,246.15,140.0,135.89,115.03,121.61,136.07,113.83,164.42,80.48,58.81,37.0,18.62,41.77,52.15,121.16,61.58,310.48,33.46,108.6,22.07,38.79,64.56,61.74,142.69,92.26,20.49,55.53,29.05,49.63,84.7,33.18,16.15,86.47,92.62,147.27,60.52,244.56,28.65,91.11,77.92,34.33,114.19,127.3,50.22,35.9633,17.79,15.9,64.5,106.49,9.88,31.09,42.2,51.64,56.3,92.3,83.68,224.63,125.26,96.95,68.89,129.42,43.73,76.97,37.33,54.36,62.68,24.74,67.39,57.76,55.25,55.0,78.7,88.6,31.27,29.62,38.49
1503547200000,71.8,66.79,47.06,110.04,10.87,82.23,80.04,217.66,25.5,51.31,44.67,70.46,66.35,116.07,26.06,22.29,22.58,27.64,30.79,24.3,54.18,37.14,57.29,68.85,40.3,41.62,50.55,43.51,33.8,23.35,122.29,88.06,101.19,12.36,104.29,62.1,107.63,169.79,67.64,33.17,104.39,245.69,139.73,135.66,114.83,121.4,136.49,114.23,164.99,80.4,58.61,37.05,18.75,41.92,52.37,120.93,61.56,310.14,33.84,108.33,21.89,38.84,64.92,61.42,142.27,92.14,20.49,55.41,29.15,49.85,84.62,33.23,16.03,86.46,92.51,147.29,60.96,243.99,28.91,90.7,75.67,34.63,113.9,126.83,50.75,35.6633,17.59,15.48,64.28,105.76,9.71,32.74,42.15,51.58,56.2,91.71,83.42,224.11,125.06,96.85,68.78,129.1,43.83,78.55,37.23,54.26,62.72,24.74,67.18,57.71,54.49,54.96,78.93,88.41,31.29,29.69,38.84
1503633600000,72.08,67.05,47.33,110.12,10.91,82.33,80.09,218.04,25.2,51.38,44.93,70.65,66.75,116.38,26.17,22.65,22.7,27.72,31.09,24.46,54.36,37.33,57.62,69.3,40.14,41.99,50.93,44.21,33.94,23.41,122.74,88.22,101.29,12.42,103.6833,62.51,107.81,170.64,67.97,33.51,104.75,246.18,139.87,135.95,115.23,121.43,136.88,114.85,164.9,80.78,57.79,37.13,18.93,42.14,52.7,121.21,61.76,311.62,34.03,108.54,22.24,38.845,65.28,61.14,141.97,92.46,20.74,55.44,29.01,49.64,84.65,33.18,16.11,86.19,91.13,146.58,60.68,244.56,29.09,91.09,77.96,34.34,114.09,127.32,51.11,35.4233,17.5,15.57,64.61,106.46,9.75,30.88,42.4,51.93,56.66,92.05,83.82,224.6,125.36,97.16,69.05,129.18,44.2,77.81,37.51,54.43,63.0,24.81,67.5,57.7,54.67,55.14,78.95,88.63,31.34,29.76,39.3
1503892800000,71.79,66.99,47.27,110.16,10.86,82.37,80.12,217.94,22.66,51.4,44.77,70.8,66.75,116.2,26.33,22.3,22.65,27.62,31.11,24.42,54.42,37.3,56.62,69.1,40.08,41.99,50.33,44.23,35.24,24.26,124.69,88.23,101.37,12.6,105.63,62.52,107.91,170.51,68.04,33.41,104.59,246.23,140.13,135.97,115.09,121.73,137.46,114.91,166.26,80.37,51.54,37.13,21.08,41.82,52.27,121.21,61.27,311.46,37.72,108.63,22.04,38.89,64.88,61.45,142.41,92.35,20.82,55.52,29.04,49.64,84.62,33.17,16.5,86.44,91.84,147.02,60.6,244.57,28.85,91.13,78.47,34.41,114.18,127.24,51.78,35.7333,17.26,14.94,64.49,106.48,9.53,30.4,42.4,51.9,56.63,92.04,83.18,224.68,125.41,96.99,69.04,129.44,44.19,80.23,37.51,54.51,62.72,24.65,67.46,57.81,54.51,55.24,79.37,88.68,31.85,29.58,39.13
1503979200000,71.62,66.94,47.13,110.32,10.87,82.46,80.19,218.59,22.13,51.62,44.69,70.54,66.48,116.27,26.03,22.19,22.49,27.65,30.74,24.4,54.31,37.22,56.59,68.53,40.14,41.7,49.85,44.27,35.42,24.42,124.42,88.12,101.32,12.58,105.94,62.29,108.16,170.38,68.02,33.34,104.47,246.54,140.46,136.08,114.98,122.05,137.49,114.73,166.63,80.25,50.53,37.09,21.46,41.53,51.85,121.3,61.28,311.17,38.6,108.85,22.17,38.855,64.36,61.96,142.97,92.26,20.73,55.61,28.78,49.53,84.66,33.14,16.42,86.68,92.49,147.25,60.4,244.85,28.47,91.26,77.61,34.19,114.36,127.65,51.8,36.1733,17.25,14.84,65.12,106.78,9.46,31.19,42.22,51.73,56.38,92.24,83.09,224.85,125.46,97.0,68.98,129.71,44.1,80.59,37.46,54.25,62.64,24.57,67.95,58.06,54.7,55.12,79.52,88.6,32.15,29.54,38.9
1504065600000,71.83,67.14,47.08,110.3,10.95,82.45,80.15,218.93,22.75,51.8,44.76,70.52,66.39,116.65,26.13,22.22,22.38,27.53,30.65,24.5,54.28,37.43,56.85,68.63,39.99,41.59,50.52,44.27,34.92,24.16,124.36,88.36,101.33,12.58,108.1067,62.19,108.07,171.47,68.4,33.545,104.72,247.73,141.41,136.79,115.25,122.94,138.37,115.24,167.91,80.68,52.64,37.17,20.55,41.73,52.09,121.4,61.76,313.06,37.48,109.33,22.12,38.9,62.84,63.44,144.65,92.7,20.94,55.6,28.67,49.06,84.68,32.96,16.46,87.89,97.2,149.77,59.48,246.01,27.5,92.14,78.0,34.22,114.33,127.61,52.79,37.4267,16.94,14.58,65.37,108.37,9.38,30.81,42.16,51.63,56.29,92.53,83.56,225.97,126.12,97.21,69.18,130.76,44.15,81.56,37.74,54.65,62.67,24.67,68.23,58.48,54.69,54.96,79.93,89.24,32.22,29.62,38.99
1504152000000,72.07,67.55,47.39,110.45,11.2,82.52,80.18,219.52,21.19,52.06,44.83,71.11,66.9,117.09,26.28,22.58,22.65,27.87,30.76,24.69,54.71,37.48,56.47,68.47,40.0,41.83,50.77,44.24,36.08,24.72,125.82,88.6,101.67,12.72,111.1167,62.67,108.24,172.81,69.07,34.09,105.1,249.14,142.43,137.65,115.79,123.91,139.73,116.18,169.96,81.2,47.5,37.26,22.55,41.72,52.02,121.61,62.0,315.58,39.9,109.93,22.2,39.05,61.6,64.62,146.2,93.22,21.32,55.74,28.43,48.5,84.68,32.79,16.65,88.58,100.05,151.25,58.52,247.49,26.71,93.27,80.2,34.0,114.62,127.99,54.35,38.49,16.41,15.39,65.86,110.2,9.63,29.14,42.52,52.05,56.74,93.01,84.04,227.3,126.98,97.59,69.61,131.8,44.3,83.83,38.18,55.07,62.97,24.7,68.46,58.83,54.71,54.97,81.29,89.66,32.39,30.16,39.17
1504238400000,72.43,67.71,47.56,109.97,11.25,82.21,80.03,219.92,21.02,52.12,45.16,70.98,66.99,116.53,26.57,23.19,22.82,28.11,30.85,24.84,54.49,37.68,56.76,68.66,40.61,41.93,51.11,44.26,36.26,24.78,126.06,88.32,101.3,12.75,111.9467,62.79,107.76,173.48,69.56,34.19,105.53,249.57,142.47,137.97,116.24,124.03,140.52,116.93,170.71,81.21,46.77,37.11,22.93,42.01,52.48,120.81,62.12,316.8,40.17,110.09,22.5,38.83,61.64,64.61,146.0,93.6,21.59,55.59,28.29,48.35,84.59,32.71,16.73,89.0,101.36,151.91,58.2,247.84,26.71,93.56,80.31,34.55,114.12,126.75,55.22,38.4633,16.17,15.5,66.25,110.8,9.67,28.94,42.6,52.2,56.85,93.01,84.33,227.69,127.27,97.88,69.82,131.95,44.62,84.62,38.36,55.43,63.58,24.77,68.52,58.78,54.97,54.8,81.23,90.07,32.95,30.61,39.7
1504584000000,71.41,67.19,47.17,110.42,11.18,82.55,80.12,217.67,19.77,51.17,44.57,70.59,66.54,116.92,26.28,23.6,22.68,27.89,30.77,24.6,54.25,37.42,55.56,66.73,40.98,41.63,48.56,43.65,37.4,25.31,127.46,88.12,101.19,12.89,111.0133,62.4,108.51,171.6,68.84,33.95,104.58,247.78,141.64,136.86,115.15,123.25,139.17,115.45,169.57,81.04,42.36,37.06,25.04,40.77,50.85,121.56,61.32,313.33,42.78,109.23,23.11,38.82,62.8,63.42,144.69,92.96,21.34,55.88,29.18,49.03,84.67,32.97,16.91,87.87,97.07,149.86,59.48,246.06,27.43,92.18,75.72,33.42,114.86,128.76,53.66,37.4333,16.61,16.13,64.13,108.29,9.92,32.1,42.29,51.78,56.52,92.36,84.1,226.01,126.29,96.92,69.35,131.24,44.28,83.98,38.24,54.8,63.93,24.24,67.83,58.26,55.05,54.94,80.88,89.7,32.69,30.42,39.66
1504670400000,71.76,67.5,47.505,110.3,11.22,82.41,80.12,218.25,20.57,51.63,44.86,70.76,66.95,116.7,26.39,24.74,22.76,28.21,31.27,24.7,54.48,37.41,56.18,66.95,41.89,42.09,48.86,43.83,36.82,24.92,126.81,88.06,101.17,12.83,111.4467,62.75,108.25,171.81,69.05,34.16,104.98,248.61,142.08,137.33,115.63,123.5,139.46,115.77,169.69,81.2,44.2,37.03,23.98,40.81,50.94,121.13,61.6,313.7,40.98,109.63,23.55,38.9,62.36,63.79,145.13,93.29,21.64,55.83,28.97,48.71,84.66,32.85,16.87,88.18,97.65,150.07,58.88,246.9,27.21,92.78,77.78,33.87,114.72,127.97,53.93,37.7567,16.51,16.54,64.6,109.39,10.04,30.65,42.6,52.13,56.96,92.54,84.32,226.8,126.64,97.25,69.61,131.7,44.6,84.22,38.4,54.94,64.97,24.3,67.9,58.31,55.28,54.69,81.27,90.26,32.72,30.93,40.18
1504756800000,72.22,67.76,47.87,110.57,11.18,82.67,80.21,218.11,19.22,51.46,45.19,71.41,67.5,117.15,26.43,24.87,22.89,28.38,31.63,24.62,54.8,37.51,56.41,67.82,42.21,42.43,47.65,43.97,37.68,25.49,128.13,88.07,101.22,12.96,111.7433,63.27,108.72,171.2,68.85,34.06,104.54,248.61,142.53,137.28,115.16,123.9,139.11,115.26,169.61,81.73,41.23,37.04,25.53,39.81,49.59,121.6,62.02,312.66,43.76,109.64,23.48,38.84,62.08,64.1,145.47,93.25,21.83,56.03,29.04,48.72,84.71,32.86,17.1,88.52,98.1,150.33,58.88,246.87,27.02,92.76,78.19,33.18,115.2,129.28,53.56,37.99,16.64,16.5,64.5,109.31,10.03,30.41,42.95,52.51,57.49,92.79,84.86,226.75,126.58,96.94,69.88,132.12,44.82,84.35,38.31,55.03,65.09,23.88,68.04,58.51,55.36,55.1,82.17,89.48,32.88,30.76,40.37
1504843200000,71.95,67.69,47.8,110.44,11.11,82.58,80.19,218.24,19.74,51.34,44.89,71.61,67.51,117.26,26.27,24.08,22.81,28.28,31.59,24.72,54.97,37.44,55.86,67.35,41.92,42.42,48.3,43.79,36.96,25.24,127.97,87.79,101.02,12.95,111.3667,63.3,108.64,171.71,68.95,34.53,104.67,248.19,142.06,137.11,115.23,123.56,139.22,115.48,169.68,81.68,43.5,36.93,24.17,40.22,50.16,121.24,61.54,313.44,42.35,109.3,23.01,38.76,63.2,63.01,144.21,93.33,21.63,56.08,28.98,48.86,84.69,32.9,17.02,87.56,94.47,148.56,59.16,246.58,27.69,92.5,76.33,33.31,115.22,129.0,53.67,37.0533,16.61,15.59,64.5,108.85,9.73,31.83,42.94,52.49,57.46,93.06,84.93,226.4,126.49,96.96,69.8,131.78,44.53,83.82,38.85,55.01,64.4,24.1,68.27,58.03,55.09,55.36,82.54,89.17,32.25,29.89,40.08
1505102400000,72.95,68.31,48.23,110.14,11.21,82.33,80.1,220.76,21.35,52.52,45.49,71.7,68.04,117.06,26.57,24.78,23.01,28.48,31.94,25.04,55.22,37.69,56.43,68.46,42.55,42.85,50.57,44.53,35.93,24.56,126.19,88.07,101.19,12.76,111.47,63.75,108.02,173.81,69.69,34.78,105.91,250.9,143.37,138.56,116.6,124.75,140.68,116.88,171.07,82.37,47.01,37.05,22.14,41.22,51.5,120.87,62.84,317.17,38.78,110.44,23.35,38.88,61.8,64.37,145.87,94.27,22.0,55.89,27.97,47.83,84.61,32.56,16.77,89.15,100.01,151.39,57.28,249.21,26.81,94.41,80.69,34.12,114.78,127.46,55.39,38.2333,16.09,15.86,66.79,112.28,9.82,28.21,43.26,52.89,57.93,93.9,85.71,228.87,127.85,98.14,70.47,132.94,45.05,83.88,38.88,55.73,65.01,24.52,68.86,58.85,55.43,55.83,83.18,89.64,32.12,30.17,40.34
1505188800000,72.88,68.59,48.35,109.98,11.21,82.21,80.06,221.42,21.06,52.89,45.44,71.66,68.25,116.82,26.7,25.2,23.16,28.5,32.02,24.91,55.26,37.57,56.24,68.31,42.37,43.03,51.59,44.39,36.34,24.67,126.56,88.18,101.3,12.8,111.7167,63.93,107.76,174.96,70.2,35.17,106.52,251.8,143.66,139.07,117.25,124.95,141.54,117.89,171.82,81.54,45.61,37.1,22.89,42.11,52.7,120.74,63.0,319.38,39.55,110.9,23.86,38.93,61.48,64.73,146.22,94.64,21.93,55.79,27.74,47.5,84.57,32.45,16.89,89.49,101.35,152.07,56.68,250.05,26.57,95.09,82.73,34.49,114.59,126.79,56.35,38.5567,15.8,16.02,67.37,113.51,9.87,26.8,43.35,52.97,58.15,94.23,84.7,229.71,128.34,98.6,70.66,133.25,44.97,83.52,39.47,56.2,65.41,24.81,69.19,58.99,55.55,54.9,83.36,90.04,32.41,30.83,40.95
1505275200000,72.56,68.41,48.09,109.87,11.32,82.11,80.0,221.76,22.3,53.03,45.2,71.12,67.88,116.82,26.54,26.17,22.97,28.49,31.88,24.83,55.15,37.04,55.89,67.93,42.4,42.77,51.47,44.08,35.54,24.22,125.61,88.21,101.17,12.71,111.3433,63.6,107.54,174.77,70.43,34.8,106.7,251.91,143.59,139.16,117.41,124.93,141.96,118.46,171.97,81.24,48.44,37.08,21.42,42.23,52.9,120.62,63.15,319.02,37.38,111.07,24.33,38.85,61.32,64.91,146.42,94.65,21.79,55.71,27.59,47.44,84.55,32.42,16.76,89.51,101.76,152.37,56.6,250.17,26.48,95.2,85.62,34.72,114.38,126.29,56.87,38.7167,15.66,16.67,67.73,113.72,10.07,24.89,43.15,52.72,57.77,94.04,84.48,229.85,128.4,98.79,70.48,133.16,44.67,83.53,39.03,56.18,66.23,24.85,69.09,58.91,55.58,54.63,83.05,90.69,32.19,31.69,41.38
1505361600000,72.6,68.44,48.21,109.93,11.36,82.16,80.0,222.32,21.84,53.01,45.32,71.22,68.0,116.9,26.56,26.51,22.97,28.6,31.95,24.75,55.16,37.13,56.13,68.31,42.66,42.85,51.32,44.01,35.88,24.37,126.16,88.33,101.35,12.76,110.6867,63.73,107.56,174.69,70.4,34.81,106.74,251.82,143.46,139.09,117.52,124.69,141.83,118.35,171.86,81.74,47.16,37.16,21.99,41.87,52.35,120.92,63.1,318.93,38.06,111.03,24.55,38.87,62.0,64.13,145.56,94.64,21.89,55.77,27.38,47.48,84.56,32.44,16.77,89.9,103.18,152.97,56.72,250.09,26.93,95.13,84.46,34.43,114.56,126.81,56.67,38.0633,15.7,16.88,68.24,113.56,10.13,25.6,43.27,52.86,58.0,94.18,85.18,229.77,128.36,98.9,70.5,132.91,44.76,83.19,38.89,56.37,66.55,24.8,69.42,58.71,55.47,55.09,83.16,90.2,31.91,31.85,41.07
1505448000000,73.12,68.57,48.29,109.91,11.27,82.17,79.95,222.45,22.48,53.38,45.59,71.16,68.06,117.06,26.7,26.72,22.9,28.59,32.02,24.86,55.24,37.38,56.06,68.73,43.35,42.98,51.66,44.34,35.28,24.13,125.53,88.41,101.42,12.7,110.6067,63.73,107.69,175.24,70.78,34.79,107.01,252.14,143.58,139.3,117.66,124.91,142.41,118.79,172.39,82.08,49.28,37.17,21.0,41.91,52.37,121.02,63.65,318.61,37.15,111.12,24.61,38.91,61.6,64.54,146.06,94.37,21.95,55.76,27.16,47.35,84.55,32.39,16.62,91.09,108.41,155.64,56.36,249.19,26.68,95.41,86.04,34.44,114.5,126.86,57.27,38.37,15.53,17.09,68.73,114.06,10.2,24.69,43.29,52.95,58.05,94.59,85.34,230.09,128.6,99.14,70.63,132.86,45.06,83.66,38.77,56.07,65.84,24.77,69.39,58.74,55.22,54.75,82.59,89.63,31.9,31.83,41.2
1505707200000,73.755,68.7,48.36,109.86,11.31,82.11,79.93,223.16,23.63,53.77,45.75,71.12,68.15,116.83,26.72,27.07,22.83,28.49,32.1,25.06,55.25,37.42,55.91,69.84,43.13,43.08,52.68,44.82,34.49,23.73,124.36,88.37,101.37,12.57,110.7233,63.86,107.27,176.09,71.34,34.97,107.4,252.71,143.67,139.65,118.14,125.07,143.38,119.54,173.93,81.64,52.71,37.16,19.48,42.43,53.11,120.9,64.26,320.12,35.04,111.31,24.84,38.89,61.8,64.4,145.55,94.52,21.66,55.74,26.92,47.19,84.5,32.35,16.27,92.36,112.71,157.68,56.2,249.72,26.77,95.78,89.76,34.82,114.45,126.13,58.5,38.2767,15.2,16.99,69.3202,114.67,10.17,22.51,43.36,53.05,58.14,94.86,84.88,230.49,128.91,99.58,70.87,132.91,45.02,84.03,38.68,56.38,66.12,25.06,69.78,58.79,55.3,54.19,82.57,89.32,32.16,32.11,41.04
1505793600000,73.84,68.84,48.55,109.8,11.22,82.05,79.9,223.58,23.25,54.1,45.85,71.255,68.47,116.66,26.77,27.39,22.98,28.64,32.21,25.04,55.57,37.26,55.65,70.07,43.06,43.29,53.34,44.88,34.72,23.85,124.62,88.46,101.45,12.6,109.9867,64.15,107.15,176.07,71.19,35.12,107.56,252.95,143.72,139.74,118.24,125.16,143.38,119.69,173.67,81.01,51.81,37.22,19.85,42.73,53.46,120.97,64.38,320.09,35.35,111.58,24.82,38.86,61.52,64.62,145.8,94.39,21.74,55.65,26.75,47.1,84.51,32.3,16.36,92.6,113.88,158.18,55.96,249.97,26.63,95.92,89.73,34.98,114.32,125.82,58.5,38.44,15.21,16.79,69.7,114.94,10.11,22.58,43.57,53.23,58.43,94.81,84.32,230.77,128.97,99.76,70.98,132.86,45.06,83.69,38.7,56.67,66.39,25.25,69.85,59.05,55.13,54.08,81.92,89.24,32.37,32.18,40.62
1505880000000,73.4,68.87,48.5,109.71,11.2,81.98,79.84,223.9,24.34,54.48,45.64,70.93,68.32,115.91,26.32,27.98,22.93,28.69,32.11,25.01,55.59,36.74,55.86,69.7,43.19,43.08,53.95,44.96,34.11,23.5,123.62,88.45,101.34,12.5,110.9167,64.02,106.94,176.67,71.45,34.81,107.78,253.1,143.63,139.84,118.38,125.1,143.84,120.28,174.04,80.81,54.48,37.21,18.82,43.25,54.06,120.82,64.27,321.03,33.69,111.68,25.19,38.84,61.88,64.24,145.35,94.55,21.75,55.51,26.65,47.06,84.44,32.3,16.19,91.37,109.08,156.0,55.88,250.06,26.87,96.0,89.64,34.92,114.0,125.91,59.1,38.12,15.05,17.24,70.11,115.12,10.24,22.61,43.28,52.86,58.04,94.31,84.09,229.72,129.18,99.94,70.98,132.75,44.41,85.17,38.37,56.87,66.84,25.4,70.36,58.81,54.6,53.68,82.0,89.54,32.55,32.86,40.51
1505966400000,73.47,68.68,48.42,109.69,11.12,81.96,79.81,223.47,25.2,54.41,45.64,70.61,68.18,116.24,26.13,27.98,22.55,28.83,32.13,24.93,55.37,37.08,55.73,69.69,42.62,43.11,54.23,45.07,33.75,23.21,122.68,88.34,101.23,12.41,110.4233,63.87,106.8,176.29,71.49,34.89,107.63,252.36,143.08,139.5,118.21,124.61,143.69,120.15,173.92,80.55,56.13,37.15,18.29,43.43,54.3,120.82,64.28,320.33,32.78,111.3,24.94,38.83,62.72,63.4,144.46,94.35,21.8,55.3656,26.83,47.3,84.42,32.38,16.03,91.2,107.75,155.33,56.36,249.39,27.38,95.47,89.72,34.96,113.74,125.84,58.94,37.3867,15.09,17.25,69.52,114.14,10.25,22.58,43.21,52.77,58.03,93.95,83.93,229.07,128.82,99.78,70.79,132.23,44.45,84.59,38.38,56.75,66.86,25.46,70.57,58.49,54.08,53.67,81.58,89.39,31.95,32.91,40.31
1506052800000,72.92,68.69,48.46,109.77,11.11,82.04,79.83,223.2,24.41,54.14,45.38,70.86,68.39,116.44,25.65,28.37,22.71,28.81,32.19,24.77,55.43,36.53,55.99,69.33,42.73,43.195,54.07,44.58,34.29,23.47,123.24,88.43,101.39,12.47,109.98,64.04,106.99,176.8,71.95,35.01,107.66,252.37,143.04,139.49,118.25,124.61,144.3,120.71,174.43,80.07,53.53,37.2,19.07,43.48,54.4,120.98,63.83,321.22,33.78,111.27,25.21,38.79,62.84,63.3,144.32,94.55,21.83,55.51,26.9,47.31,84.44,32.37,16.05,91.57,109.29,156.12,56.28,249.44,27.46,95.51,89.11,34.75,114.03,126.2,59.6,37.2933,14.91,17.19,69.35,114.2,10.24,22.87,43.31,52.84,58.2,94.1,82.49,229.04,128.37,99.18,70.84,131.79,44.18,83.91,38.47,56.55,67.2,25.43,70.75,58.52,53.92,53.23,81.58,89.54,31.62,33.04,40.8
1506312000000,71.59,68.4,48.08,110.03,11.35,82.22,79.93,222.82,23.21,54.11,44.61,70.9,68.0,116.33,25.07,29.66,22.64,28.84,31.86,24.46,55.55,35.93,55.59,68.88,41.79,42.725,53.64,43.39,34.95,23.83,124.53,88.48,101.35,12.6,110.4667,63.73,107.31,177.18,72.17,35.17,108.03,251.89,142.19,139.28,118.64,123.75,144.5,121.4,174.01,80.5,50.66,37.23,20.07,43.5,54.54,121.43,61.88,321.95,35.5,111.01,25.79,38.87,64.16,61.98,142.8,94.66,22.24,55.67,27.05,47.49,84.49,32.43,16.21,89.73,102.93,153.11,56.6,248.93,28.31,95.11,89.07,34.31,114.35,126.99,59.92,36.1233,14.83,18.28,68.92,113.49,10.55,22.85,43.12,52.44,57.76,94.26,82.97,228.7,128.16,99.32,70.53,131.01,43.36,84.25,38.65,56.65,68.17,25.4,70.75,57.83,54.31,53.72,81.34,89.35,31.9,33.98,41.2
